below_ess_finc,hhldrage_bin,count,percent
No,Under 25,342,0.6925600421206107
No,25 to 34,5228,10.586853509375887
No,35 to 44,9162,18.553319023125837
No,45 to 54,11110,22.49807622210522
No,55 to 64,10624,21.5139119517233
No,65 and over,12916,26.155279251549146
Yes,Under 25,349,2.551356093281673
Yes,25 to 34,2627,19.204620220776373
Yes,35 to 44,3305,24.16112288910008
Yes,45 to 54,1915,13.999561371445282
Yes,55 to 64,2372,17.340448863220995
Yes,65 and over,3111,22.742890562175596
