below_ess_finc,hours_bin,count,percent
No,40 or more,60533,75.34227820372399
No,35 to 39,4240,5.2773075774171065
No,30 to 34,3898,4.851637956785821
No,20 to 29,6941,8.639101861993428
No,Less than 20,4168,5.187692920442099
No,Unemployed,564,0.7019814796375585
Yes,40 or more,9527,61.691381208314446
Yes,35 to 39,1143,7.401411642815516
Yes,30 to 34,1359,8.800103606812149
Yes,20 to 29,1790,11.59101210904617
Yes,Less than 20,1194,7.7316583565369426
Yes,Unemployed,430,2.7844330764747784
