rt,serialno,division,puma10,puma20,region,st,adjhsg,adjinc,wgtp,np,typehugq,accessinet,acr,ags,bath,bdsp,bld,broadbnd,compothx,conp,dialup,elefp,elep,fs,fulfp,fulp,gasfp,gasp,hfl,hispeed,hotwat,insp,laptop,mhp,mrgi,mrgp,mrgt,mrgx,othsvcex,refr,rmsp,rntm,rntp,rwat,rwatpr,satellite,sink,smartphone,smp,stov,tablet,tel,ten,vacs,valp,veh,watfp,watp,yrblt,cplt,fincp,fparc,grntp,grpip,hhl,hhlanp,hhldragep,hhldrhisp,hhldrrac1p,hht,hht2,hincp,hugcl,hupac,hupaoc,huparc,kit,lngi,multg,mv,noc,npf,npp,nr,nrc,ocpip,partner,plm,plmprp,psf,r18,r60,r65,resmode,smocp,smx,srnt,sval,taxamt,wif,wkexrel,workstat,faccessp,facrp,fagsp,fbathp,fbdsp,fbldp,fbroadbndp,fcompothxp,fconp,fdialupp,felep,ffincp,ffsp,ffulp,fgasp,fgrntp,fhflp,fhincp,fhispeedp,fhotwatp,finsp,fkitp,flaptopp,fmhp,fmrgip,fmrgp,fmrgtp,fmrgxp,fmvp,fothsvcexp,fplmp,fplmprp,frefrp,frmsp,frntmp,frntp,frwatp,frwatprp,fsatellitep,fsinkp,fsmartphonp,fsmocp,fsmp,fsmxhp,fsmxsp,fstovp,ftabletp,ftaxp,ftelp,ftenp,fvacsp,fvalp,fvehp,fwatp,fyrbltp,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80,family_type,median_sss,income,below_ess_inc,below_ess_finc,below_35_finc
H,2018HU0002646,5,51090,-9,3,51,1169060,1184371,5,1,1,1,NA,NA,1,2,07,1,2,NA,2,2,NA,2,2,NA,3,NA,2,1,9,NA,1,NA,NA,NA,NA,NA,2,1,4,2,1300,1,9,2,1,1,NA,1,1,1,3,NA,NA,1,2,NA,2000,NA,NA,NA,1300,16,4,2560,32,01,6,4,09,100000,0,4,4,4,1,1,1,1,0,NA,0,0,0,NA,0,1,9,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,7,3,7,5,2,6,5,5,2,3,1,2,8,7,7,3,2,6,4,7,1,4,3,2,10,2,4,4,5,4,9,11,2,2,3,3,1,5,8,10,2,3,5,4,4,1,5,7,7,5,13,9,2,1,5,3,9,4,5,1,8,3,3,3,1,12,7,7,2,4,1,2,9,8,5,3,12,a1i0p0s0t0,28273.535,100000,No,NA,NA
H,2018HU0002819,5,51090,-9,3,51,1169060,1184371,10,2,1,1,NA,NA,1,2,04,1,2,NA,2,3,80,2,2,NA,2,NA,1,1,9,NA,1,NA,NA,NA,NA,NA,2,1,6,2,1000,1,9,2,1,1,NA,1,2,1,3,NA,NA,2,2,NA,1960,1,110000,4,1080,12,1,9500,29,01,1,1,02,110000,0,4,4,4,1,1,1,3,0,2,0,0,0,NA,0,1,9,0,0,0,0,3,NA,NA,1,0,NA,2,02,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,11,3,8,8,9,19,12,18,10,11,10,9,4,9,15,3,16,16,11,11,9,17,8,6,8,3,8,4,10,12,4,8,14,2,2,14,16,10,9,17,10,17,12,7,9,3,6,3,13,10,3,8,15,3,3,17,2,11,11,3,8,3,9,8,8,14,7,14,9,7,12,9,3,15,15,3,3,a2i0p0s0t0,43378.545,110000,No,No,No
H,2018HU0005302,5,51090,-9,3,51,1169060,1184371,25,2,1,1,2,1,1,3,01,1,2,0,2,3,150,2,2,NA,3,NA,3,1,9,800,1,0,2,1300,2,1,2,1,8,NA,NA,1,9,2,1,1,NA,1,2,1,1,NA,140000,4,2,NA,2000,1,135000,4,NA,NA,1,9500,47,01,1,1,02,135000,0,4,4,4,1,1,1,5,0,2,0,0,0,15,0,1,9,0,0,0,0,2,1646,3,0,0,1550,2,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,36,23,23,29,33,30,7,8,6,17,44,32,8,22,20,6,24,53,7,8,9,27,19,25,28,26,39,42,54,24,6,20,51,29,19,34,27,11,35,33,64,32,18,23,31,22,6,8,7,21,34,29,10,27,22,7,36,36,5,9,9,25,20,23,28,34,40,33,45,30,6,24,39,26,25,30,25,10,35,a2i0p0s0t0,43378.545,135000,No,No,No
H,2018HU0007018,5,51089,-9,3,51,1169060,1184371,21,1,1,1,2,1,1,2,02,2,2,NA,2,3,150,2,2,NA,3,NA,3,2,9,NA,1,NA,NA,NA,NA,NA,2,1,4,2,650,1,9,1,1,2,NA,1,2,1,3,NA,NA,2,2,NA,1980,NA,NA,NA,800,40,1,9500,71,01,1,4,09,23900,0,4,4,4,1,1,1,3,0,NA,0,0,0,NA,0,1,9,0,0,1,1,3,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,26,7,39,17,6,6,13,22,18,17,21,34,22,6,37,26,29,8,21,39,20,33,7,26,43,39,20,17,27,22,15,5,19,31,8,28,5,8,21,29,17,38,6,27,36,42,26,28,23,20,20,6,18,32,7,21,7,38,22,6,19,4,33,17,7,6,21,21,20,21,25,37,20,5,29,22,35,30,a1i0p0s0t0,28273.535,23900,Yes,NA,NA
H,2018HU0008641,5,51090,-9,3,51,1169060,1184371,14,3,1,1,1,NA,1,3,02,1,2,0,2,3,390,2,2,NA,3,NA,3,1,9,180,1,NA,1,690,1,1,2,1,7,NA,NA,1,9,2,1,1,NA,1,1,1,1,NA,249000,3,3,360,1980,1,83000,4,NA,NA,1,9500,56,01,1,1,02,83000,0,4,4,4,1,1,1,6,0,3,0,0,0,16,0,1,9,0,0,0,0,1,1110,3,0,1,1550,2,03,03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,16,13,17,19,4,5,22,13,3,21,21,13,13,5,17,12,13,13,13,5,15,13,19,22,5,4,20,14,5,23,24,17,14,4,15,11,12,12,16,5,12,11,25,26,4,5,27,12,4,21,22,15,14,4,12,10,15,14,15,4,12,11,24,23,3,4,33,13,4,19,22,16,17,5,13,11,13,12,a3i0p0s0t0,51757.69,83000,No,No,No
H,2018HU0008983,5,51089,-9,3,51,1169060,1184371,19,2,1,1,1,NA,1,4,02,1,2,0,2,3,110,2,2,NA,4,30,3,1,9,1200,1,NA,1,2900,1,1,2,1,9,NA,NA,1,9,2,1,1,NA,1,1,1,1,NA,460000,2,3,450,1990,1,168000,4,NA,NA,1,9500,27,01,1,1,02,168000,0,4,4,4,1,1,1,1,0,2,0,0,0,22,0,1,9,0,0,0,0,3,3078,3,0,1,3050,2,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,24,25,29,20,21,17,18,30,20,30,18,36,33,31,21,16,21,21,4,6,17,4,8,20,18,15,19,6,18,7,21,6,4,6,5,17,21,18,52,31,24,41,35,15,25,22,13,20,15,22,18,25,28,30,42,20,20,17,5,5,18,5,5,19,27,22,14,5,19,5,20,4,5,6,7,21,18,18,a2i0p0s0t0,43378.545,168000,No,No,No
H,2018HU0009112,5,51089,-9,3,51,1169060,1184371,23,2,1,1,2,1,1,3,02,1,2,0,2,3,140,2,2,NA,3,NA,3,2,9,800,1,NA,2,680,2,1,2,1,5,NA,NA,1,9,2,1,1,NA,1,2,1,1,NA,70000,2,2,NA,1990,1,37500,4,NA,NA,1,9500,55,01,1,1,02,37500,0,4,4,4,1,1,1,2,0,2,0,0,0,28,0,1,9,0,0,0,0,1,887,3,0,1,0,0,09,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,39,20,39,48,24,25,22,20,47,18,43,26,35,45,43,43,24,21,24,4,6,27,8,7,24,21,22,21,7,24,6,24,7,7,7,7,23,18,24,11,7,21,8,7,22,24,24,23,7,21,7,18,6,8,6,6,20,25,26,43,49,20,35,30,23,25,22,22,37,21,47,24,35,35,34,35,24,21,21,a2i0p0s0t0,43378.545,37500,Yes,Yes,No
H,2018HU0009139,5,51089,-9,3,51,1169060,1184371,16,2,1,1,2,1,1,4,02,1,2,0,2,3,350,2,2,NA,4,10,3,1,9,1200,1,NA,1,2000,1,1,2,1,8,NA,NA,1,9,2,1,1,NA,1,1,1,1,NA,400000,3,2,NA,1980,1,213700,4,NA,NA,1,9500,59,01,1,1,02,213700,0,4,4,4,1,1,1,3,0,2,0,0,0,13,0,1,9,0,0,0,0,3,2360,3,0,1,1250,1,03,03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,35,15,14,4,15,18,15,14,5,16,20,31,28,5,6,33,16,5,12,24,27,17,20,5,15,17,13,18,5,16,20,35,28,4,4,32,17,4,16,3,5,18,13,28,17,18,16,18,29,15,17,5,5,28,29,5,19,28,21,5,5,15,15,29,20,15,16,15,28,18,19,5,4,25,24,5,19,24,16,a2i0p0s0t0,43378.545,213700,No,No,No
H,2018HU0011413,5,51089,-9,3,51,1169060,1184371,14,3,1,2,1,NA,1,2,03,NA,2,NA,NA,3,130,2,2,NA,3,NA,3,NA,9,NA,1,NA,NA,NA,NA,NA,NA,1,3,2,1400,1,9,NA,1,1,NA,1,1,1,3,NA,NA,2,1,NA,2000,1,87000,1,1530,21,1,9500,33,01,1,1,01,87000,0,1,1,1,1,1,1,3,1,3,0,0,1,NA,0,1,9,0,1,0,0,3,NA,NA,1,0,NA,2,02,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,14,17,13,15,15,4,4,4,13,23,14,5,16,11,4,13,19,3,4,4,13,18,16,13,16,26,20,21,14,4,15,21,12,16,28,16,5,24,26,22,12,14,16,15,11,4,5,4,15,22,16,4,11,13,5,13,19,4,4,4,12,14,12,14,16,23,20,29,14,4,22,26,15,14,21,15,3,20,a2i1p0s0t0,60440.175,87000,No,No,No
H,2018HU0011988,5,51090,-9,3,51,1169060,1184371,50,1,1,1,NA,NA,1,1,07,1,1,NA,2,3,140,2,2,NA,3,NA,3,2,9,NA,1,NA,NA,NA,NA,NA,2,1,4,2,1400,1,9,2,1,1,NA,1,2,1,3,NA,NA,1,3,600,1990,NA,NA,NA,1590,41,1,9500,23,01,1,6,05,46000,0,4,4,4,1,1,1,1,0,NA,0,0,0,NA,0,1,9,0,0,0,0,2,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,56,100,56,15,62,46,17,47,115,60,55,41,56,49,46,42,14,15,21,78,50,50,47,22,40,51,19,46,66,85,80,50,73,48,45,48,16,12,20,76,43,69,49,17,56,54,18,57,66,68,83,44,51,66,50,49,25,17,11,87,62,68,39,12,49,64,11,46,65,72,72,69,64,39,47,51,21,15,16,87,a1i0p0s0t0,28273.535,46000,No,NA,NA
H,2018HU0012350,5,51089,-9,3,51,1169060,1184371,17,2,1,1,3,1,1,3,02,1,2,0,2,3,220,2,2,NA,4,100,3,1,9,1000,1,NA,NA,NA,NA,3,2,1,8,NA,NA,1,9,2,1,1,NA,1,1,1,2,NA,515000,3,2,NA,2000,1,418300,4,NA,NA,1,9500,59,01,1,1,02,418300,0,4,4,4,1,1,1,4,0,2,0,0,0,2,0,1,9,0,0,1,0,3,774,NA,0,0,4450,2,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,17,4,28,29,5,17,17,5,18,6,19,17,16,33,19,28,20,24,15,5,19,34,4,5,31,13,19,31,17,36,22,18,14,4,20,6,15,5,15,35,19,4,31,32,5,17,18,5,16,5,18,17,18,30,17,33,17,35,15,5,15,28,6,6,28,18,16,30,18,34,17,17,17,4,20,6,15,5,a2i0p0s0t0,43378.545,418300,No,No,No
H,2018HU0012706,5,51089,-9,3,51,1169060,1184371,8,3,1,1,1,NA,1,3,02,1,2,0,2,3,150,2,3,300,3,NA,3,1,9,800,1,NA,NA,NA,NA,3,2,1,9,NA,NA,1,9,2,1,1,NA,1,1,1,2,NA,350000,2,3,120,1990,1,155000,2,NA,NA,2,1200,45,01,1,1,01,155000,0,2,2,2,1,1,1,5,1,3,0,0,1,4,0,1,9,0,1,0,0,1,506,NA,0,1,3050,2,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,13,2,9,17,13,16,10,3,15,7,7,10,8,3,2,8,10,7,10,2,16,2,12,13,15,12,8,3,10,7,9,9,10,3,3,8,11,9,9,18,3,12,9,2,2,3,9,14,2,9,8,12,9,14,13,6,9,9,9,13,4,14,8,4,2,2,9,9,3,7,9,7,8,12,13,9,8,10,a2i0p0s1t0,56217.130000000005,155000,No,No,No
H,2018HU0014263,5,51090,-9,3,51,1169060,1184371,10,3,1,1,2,1,1,3,02,1,2,0,2,3,130,2,3,1200,4,50,3,2,9,440,2,NA,1,890,1,1,2,1,6,NA,NA,1,9,2,1,1,NA,1,2,1,1,NA,185000,2,3,50,1960,3,NA,NA,NA,NA,1,9500,63,01,1,5,04,72400,0,4,4,4,1,1,1,2,0,NA,0,1,0,19,2,1,9,0,0,1,0,1,1174,3,0,1,1650,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,18,21,17,9,15,13,10,15,3,3,3,9,16,11,3,10,10,3,3,11,3,3,3,11,10,13,12,9,22,16,14,12,4,12,16,9,11,23,2,9,3,4,3,10,16,12,10,11,18,17,17,11,3,9,18,10,12,19,15,12,17,17,18,11,13,14,10,9,3,3,2,12,21,10,3,9,10,4,15,a2i0p0s0t0,43378.545,72400,No,NA,NA
H,2018HU0014763,5,51089,-9,3,51,1169060,1184371,20,1,1,3,1,NA,1,3,02,NA,2,0,NA,3,100,2,3,2800,3,NA,4,NA,9,600,2,NA,NA,NA,NA,3,NA,1,6,NA,NA,1,9,NA,1,2,NA,1,2,1,2,NA,275000,1,2,NA,1960,NA,NA,NA,NA,NA,1,9500,94,01,1,4,09,16500,0,4,4,4,1,1,1,7,0,NA,0,0,0,41,0,1,9,0,0,1,1,1,563,NA,0,1,2150,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,29,22,17,20,6,6,23,7,35,7,37,17,39,30,21,22,20,29,20,30,17,8,29,28,20,18,6,23,27,21,20,7,19,17,24,31,5,7,19,6,28,31,6,4,17,26,33,19,19,21,18,28,19,23,8,7,30,32,34,27,7,15,14,19,42,32,24,38,6,25,6,21,6,8,16,22,21,15,7,a1i0p0s0t0,28273.535,16500,Yes,NA,NA
H,2018HU0015912,5,51090,-9,3,51,1169060,1184371,10,4,1,1,3,4,1,4,02,1,2,0,2,3,160,2,3,300,3,NA,3,1,9,1500,1,NA,2,2800,2,1,2,1,11,NA,NA,1,9,2,1,1,NA,1,1,1,1,NA,900000,2,2,NA,2010,1,187000,2,NA,NA,1,9500,48,01,1,1,01,187000,0,2,2,2,1,1,1,3,2,4,0,0,2,23,0,1,9,0,1,0,0,3,3548,3,0,0,5250,2,02,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,10,2,18,17,11,11,3,10,10,8,9,3,11,9,18,17,10,18,16,4,8,17,3,4,11,9,21,11,10,11,11,16,10,12,3,3,11,3,4,24,8,2,19,16,9,12,3,8,10,9,8,3,9,10,15,16,11,16,16,4,10,19,3,3,11,8,16,11,9,11,8,17,8,8,4,3,10,a2i0p0s2t0,66051.295,187000,No,No,No
H,2018HU0017005,5,51090,-9,3,51,1169060,1184371,31,7,1,1,2,1,1,3,02,1,2,0,2,3,210,2,3,560,3,NA,2,1,9,700,1,NA,1,610,1,1,2,1,8,NA,NA,1,9,2,1,1,NA,1,1,1,1,NA,95000,6,2,NA,1990,1,82600,3,NA,NA,1,9500,43,01,1,1,01,82600,1,3,2,3,1,1,2,6,2,7,0,0,3,13,0,1,9,1,1,0,0,3,867,3,0,1,725,3,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,49,37,12,37,51,33,37,15,29,34,34,41,11,27,23,39,45,21,8,10,63,38,9,59,54,23,23,8,31,32,26,24,8,30,30,67,49,38,51,53,10,35,46,10,13,29,25,46,32,31,27,29,56,42,31,8,10,29,55,47,9,30,51,9,9,30,30,48,29,32,21,28,68,32,28,8,9,40,a4c3,93886.315,82600,Yes,Yes,No
H,2018HU0017371,5,51090,-9,3,51,1169060,1184371,18,2,1,1,2,1,1,2,02,1,2,NA,2,3,180,2,2,NA,3,NA,3,2,9,NA,2,NA,NA,NA,NA,NA,2,1,5,2,500,1,9,2,1,1,NA,1,2,1,3,NA,NA,1,2,NA,2000,NA,NA,NA,680,44,1,9500,59,23,1,5,12,18600,0,4,4,4,1,1,1,4,0,NA,0,1,0,NA,0,1,9,0,0,0,0,3,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,17,18,6,21,44,36,25,22,15,19,19,17,4,4,6,20,37,37,17,5,20,22,7,19,31,27,31,24,14,14,15,15,6,7,4,12,30,6,17,23,17,38,45,35,4,5,8,20,17,22,13,15,34,29,19,18,5,6,19,33,22,21,33,13,5,5,5,18,14,22,22,21,29,23,25,12,4,27,a1i0p0s0t0,28273.535,18600,Yes,NA,NA
H,2018HU0018897,5,51089,-9,3,51,1169060,1184371,19,1,1,1,1,NA,1,3,02,1,2,0,2,3,90,2,2,NA,3,NA,3,2,9,430,2,NA,NA,NA,NA,3,2,1,6,NA,NA,1,9,1,1,1,NA,1,2,1,2,NA,130000,2,3,1800,2000,NA,NA,NA,NA,NA,1,9500,43,01,1,4,09,44000,0,4,4,4,1,1,1,3,0,NA,0,0,0,10,0,1,9,0,0,0,0,3,380,NA,0,1,1250,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,17,20,5,15,32,25,52,21,16,19,21,15,6,6,8,19,30,5,19,34,16,20,33,17,7,6,6,20,20,17,20,24,27,21,30,23,5,5,20,32,18,16,31,17,7,9,5,22,20,16,21,20,28,25,29,18,5,29,19,5,16,19,5,20,36,28,32,17,17,22,20,20,6,5,7,20,32,31,a1i0p0s0t0,28273.535,44000,No,NA,NA
H,2018HU0019842,5,51090,-9,3,51,1169060,1184371,84,6,1,2,1,NA,1,3,02,NA,2,0,NA,3,220,2,2,NA,3,NA,3,NA,9,380,1,NA,NA,NA,NA,3,NA,1,5,NA,NA,1,9,NA,1,1,NA,1,1,1,2,NA,125000,2,2,NA,1960,1,86000,2,NA,NA,1,9500,50,01,1,1,02,86000,1,2,4,2,1,1,2,7,0,6,0,0,1,5,0,1,9,1,1,0,0,2,356,NA,0,1,1250,3,03,07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,85,93,114,69,25,142,110,22,87,89,28,85,28,96,89,71,125,90,33,131,103,80,116,101,31,122,135,29,76,76,26,87,23,82,95,75,117,81,124,38,83,79,33,82,108,33,28,114,73,71,91,91,135,68,78,95,27,90,134,31,91,74,23,82,130,26,34,110,82,79,135,92,139,104,95,81,28,75,29,a5c1,83792.67000000001,86000,No,No,No
H,2018HU0020213,5,51090,-9,3,51,1169060,1184371,11,2,1,1,1,NA,1,4,02,2,2,0,2,3,140,2,2,NA,4,30,1,1,9,540,1,NA,NA,NA,NA,3,2,1,10,NA,NA,1,9,2,1,2,NA,1,2,1,2,NA,500000,0,3,1200,1939,1,97800,4,NA,NA,1,9500,85,01,1,1,02,97800,0,4,4,4,1,1,1,7,0,2,0,0,0,8,0,1,9,0,0,2,2,3,653,NA,0,1,4050,0,09,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,3,11,13,9,3,12,3,16,8,29,8,8,11,17,20,3,15,10,8,3,12,3,2,28,11,17,13,12,22,7,14,3,4,20,9,11,17,15,3,27,23,11,10,11,24,10,14,3,8,4,8,7,10,3,4,19,12,10,9,18,8,18,13,4,11,3,17,9,2,10,4,29,17,9,10,11,2,4,a2i0p0s0t0,43378.545,97800,No,No,No
H,2018HU0020300,5,51090,-9,3,51,1169060,1184371,12,2,1,1,1,NA,1,5,02,1,2,0,2,3,220,2,3,200,4,10,3,1,9,1200,1,NA,1,2500,1,1,2,1,10,NA,NA,1,9,2,1,1,850,1,1,1,1,NA,600000,2,3,40,1990,1,148400,4,NA,NA,1,9500,70,01,1,1,02,148400,0,4,4,4,1,1,1,6,0,2,0,0,0,29,0,1,9,0,0,2,2,3,3600,2,0,1,3750,1,06,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,3,25,12,22,17,12,19,3,12,13,11,4,12,20,12,4,4,13,13,12,4,21,12,23,20,14,23,3,14,15,12,4,14,21,13,4,4,11,10,11,3,18,13,21,20,12,29,4,13,12,12,3,13,18,10,4,4,12,12,13,4,26,14,23,23,10,22,5,13,14,12,3,13,21,15,3,3,13,a2i0p0s0t0,43378.545,148400,No,No,No
H,2018HU0020614,5,51089,-9,3,51,1169060,1184371,3,2,1,1,2,1,1,3,02,1,2,0,2,3,200,2,3,100,3,NA,3,1,9,1700,1,NA,1,2100,1,1,2,1,8,NA,NA,1,9,2,1,1,NA,1,2,1,1,NA,325000,2,2,NA,1990,1,115000,4,NA,NA,1,9500,39,01,1,1,02,115000,0,4,4,4,1,1,1,4,0,2,0,0,0,24,0,1,9,0,0,0,0,3,2308,3,0,1,3050,2,02,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,3,2,5,3,3,1,1,5,6,1,3,5,1,1,3,4,4,5,3,4,3,2,5,4,2,0,1,5,5,1,3,5,1,1,4,3,3,0,2,3,3,3,0,3,4,5,6,1,2,6,3,1,5,5,4,2,3,1,4,4,3,3,1,3,4,6,6,1,1,4,4,1,5,4,3,3,a2i0p0s0t0,43378.545,115000,No,No,No
H,2018HU0023499,5,51090,-9,3,51,1169060,1184371,14,1,1,1,1,NA,1,3,02,2,2,NA,2,3,70,2,2,NA,3,NA,3,1,9,NA,1,NA,NA,NA,NA,NA,2,1,5,2,600,1,9,2,1,1,NA,1,1,1,3,NA,NA,1,3,30,1980,NA,NA,NA,673,13,3,1110,30,01,1,6,05,60000,0,4,4,4,1,1,1,1,0,NA,0,0,0,NA,0,1,9,0,0,0,0,3,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,13,14,16,19,22,29,22,15,6,18,19,18,17,23,14,3,5,4,3,11,17,20,11,11,28,22,27,19,5,15,24,13,11,19,13,4,4,2,4,10,13,14,13,19,31,31,24,12,6,11,17,16,19,17,13,5,4,4,5,12,17,17,14,11,37,26,20,21,5,17,27,14,14,23,17,3,4,4,a1i0p0s0t0,28273.535,60000,No,NA,NA
