rt,serialno,division,puma10,puma20,region,st,adjhsg,adjinc,wgtp,np,typehugq,accessinet,acr,ags,bath,bdsp,bld,broadbnd,compothx,conp,dialup,elefp,elep,fs,fulfp,fulp,gasfp,gasp,hfl,hispeed,hotwat,insp,laptop,mhp,mrgi,mrgp,mrgt,mrgx,othsvcex,refr,rmsp,rntm,rntp,rwat,rwatpr,satellite,sink,smartphone,smp,stov,tablet,tel,ten,vacs,valp,veh,watfp,watp,yrblt,cplt,fincp,fparc,grntp,grpip,hhl,hhlanp,hhldragep,hhldrhisp,hhldrrac1p,hht,hht2,hincp,hugcl,hupac,hupaoc,huparc,kit,lngi,multg,mv,noc,npf,npp,nr,nrc,ocpip,partner,plm,plmprp,psf,r18,r60,r65,resmode,smocp,smx,srnt,sval,taxamt,wif,wkexrel,workstat,faccessp,facrp,fagsp,fbathp,fbdsp,fbldp,fbroadbndp,fcompothxp,fconp,fdialupp,felep,ffincp,ffsp,ffulp,fgasp,fgrntp,fhflp,fhincp,fhispeedp,fhotwatp,finsp,fkitp,flaptopp,fmhp,fmrgip,fmrgp,fmrgtp,fmrgxp,fmvp,fothsvcexp,fplmp,fplmprp,frefrp,frmsp,frntmp,frntp,frwatp,frwatprp,fsatellitep,fsinkp,fsmartphonp,fsmocp,fsmp,fsmxhp,fsmxsp,fstovp,ftabletp,ftaxp,ftelp,ftenp,fvacsp,fvalp,fvehp,fwatp,fyrbltp,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80,family_type,median_sss,income,below_ess_inc,below_ess_finc,below_35_finc
H,2021HU1406603,5,51090,-9,3,51,1080912,1113261,10,3,1,1,1,NA,1,3,02,1,2,NA,2,3,70,2,2,NA,3,NA,3,1,9,NA,1,NA,NA,NA,NA,NA,2,1,8,2,1600,1,9,2,1,1,NA,1,2,1,3,NA,NA,2,1,NA,2010,1,85000,1,1670,24,1,9500,30,01,1,1,01,85000,0,1,1,1,1,1,1,2,1,3,0,0,1,NA,0,1,9,0,1,0,0,3,NA,NA,1,0,NA,2,04,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,15,3,11,8,10,18,14,11,11,2,18,13,4,9,9,10,20,18,8,11,10,8,3,19,9,10,10,2,15,9,10,3,8,3,3,20,9,11,3,2,17,4,8,11,17,15,16,9,8,3,16,11,3,10,11,10,18,17,9,11,11,10,3,15,14,9,9,3,14,11,9,2,8,3,2,16,8,a2i1p0s0t0,60440.175,85000,No,No,No
H,2021HU1412309,5,51089,-9,3,51,1080912,1113261,20,1,1,1,2,1,1,2,02,1,2,0,2,3,120,2,2,NA,3,NA,3,2,9,3000,1,NA,1,1500,1,1,2,1,4,NA,NA,1,9,2,1,1,NA,1,1,1,1,NA,650000,1,2,NA,2000,NA,NA,NA,NA,NA,1,9500,67,01,1,4,09,52800,0,4,4,4,1,1,1,3,0,NA,0,0,0,37,0,1,9,0,0,1,1,1,1620,3,0,1,4450,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,25,22,19,19,22,7,4,5,20,35,17,6,19,18,7,22,34,31,32,32,17,19,21,21,23,6,5,6,22,40,21,5,22,20,5,20,38,6,6,6,26,20,17,19,21,31,26,37,24,5,20,38,20,18,32,21,5,6,5,6,20,21,18,17,20,37,42,35,25,6,17,29,21,23,31,20,5,34,a1i0p0s0t0,28273.535,52800,No,NA,NA
H,2021HU1415126,5,51090,-9,3,51,1080912,1113261,29,2,1,1,1,NA,1,1,03,1,1,NA,1,3,100,2,2,NA,3,NA,8,1,9,NA,1,NA,NA,NA,NA,NA,1,1,3,2,1500,1,9,1,1,1,NA,1,1,1,3,NA,NA,2,3,70,2020,NA,NA,NA,1606,101,1,9500,31,01,1,5,12,9500,0,4,4,4,1,1,1,1,0,NA,0,1,0,NA,0,1,9,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,61,7,31,9,8,28,10,58,32,26,34,73,31,7,28,39,48,30,29,27,10,50,31,44,49,29,56,11,28,28,28,7,29,47,31,10,8,30,24,25,45,8,28,8,9,35,10,34,27,36,25,54,45,8,30,46,52,34,35,29,8,49,32,64,52,30,54,7,29,37,26,9,31,42,30,11,6,34,26,a1i0p0s0t0,28273.535,9500,Yes,NA,NA
H,2022HU0001620,5,-9,10901,3,51,1000000,1042311,8,2,1,1,NA,NA,1,2,06,1,2,NA,2,3,50,2,2,NA,3,NA,3,1,9,NA,1,NA,NA,NA,NA,NA,2,1,6,2,1300,1,9,2,1,1,NA,1,2,1,3,NA,NA,1,3,70,2010,1,29040,4,1356,56,1,9500,62,01,1,1,02,29040,0,4,4,4,1,1,1,4,0,2,0,0,0,NA,0,1,9,0,0,2,1,3,NA,NA,1,0,NA,1,03,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,16,11,2,7,12,1,2,8,9,15,8,6,6,7,16,9,7,10,3,2,12,21,2,9,15,3,3,8,6,12,10,5,8,8,11,11,8,6,3,2,16,14,1,7,13,3,3,10,8,13,9,6,7,8,15,8,8,10,2,3,15,13,2,7,9,2,3,8,7,10,10,7,6,9,16,13,8,a2i0p0s0t0,43378.545,29040,Yes,Yes,Yes
H,2022HU0001982,5,-9,10901,3,51,1000000,1042311,11,4,1,1,1,NA,1,3,03,1,2,0,2,3,150,2,2,NA,4,20,3,1,9,390,1,NA,1,1500,1,1,2,1,5,NA,NA,1,9,2,1,1,NA,1,1,1,1,NA,470000,2,3,600,2010,1,80000,2,NA,NA,1,9500,41,01,8,1,01,80000,0,2,2,2,1,1,1,4,2,4,0,0,2,26,0,1,9,0,1,0,0,3,1720,3,0,1,4650,1,07,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,17,12,18,3,10,17,23,11,13,10,11,11,4,12,20,4,11,4,3,10,24,8,15,5,13,17,22,12,11,10,12,11,3,8,19,2,9,31,14,10,3,9,4,23,8,3,4,11,14,9,9,12,16,11,3,18,9,20,18,11,2,11,4,16,16,4,2,12,10,8,13,10,22,12,4,18,13,3,a2i0p0s1t1,58348.045,80000,No,No,No
H,2022HU0002487,5,-9,10901,3,51,1000000,1042311,18,1,1,1,1,NA,1,4,02,1,2,0,2,3,40,2,2,NA,4,60,1,1,9,1500,1,NA,NA,NA,NA,3,2,1,8,NA,NA,1,9,2,1,1,500,1,2,1,1,NA,439000,1,3,360,1980,NA,NA,NA,NA,NA,1,9500,67,01,1,6,05,58500,0,4,4,4,1,1,1,7,0,NA,0,0,0,21,0,1,9,0,0,1,1,3,1030,2,0,1,3250,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,5,17,15,20,30,18,6,16,5,5,30,19,32,17,13,33,18,17,26,4,5,22,17,16,26,17,5,17,6,6,30,18,32,19,15,28,18,16,4,34,25,20,16,14,6,18,25,19,22,34,6,15,6,17,19,8,21,17,5,32,27,20,16,15,6,24,32,18,26,25,6,13,5,14,21,7,17,17,a1i0p0s0t0,28273.535,58500,No,NA,NA
H,2022HU0002780,5,-9,54001,3,51,1000000,1042311,28,1,1,1,1,NA,1,2,02,1,2,0,2,3,120,2,2,NA,4,160,1,1,9,700,1,NA,NA,NA,NA,3,2,1,7,NA,NA,1,9,1,1,2,NA,1,2,1,2,NA,275000,1,3,360,1939,NA,NA,NA,NA,NA,1,9500,75,01,1,6,05,16000,0,4,4,4,1,1,1,7,0,NA,0,0,0,48,0,1,9,0,0,1,1,3,639,NA,0,1,3250,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,14,20,6,27,38,32,47,23,36,18,25,47,31,10,38,71,9,46,28,27,50,34,59,20,27,28,7,25,8,29,20,11,34,49,12,9,38,16,21,33,13,23,8,23,45,32,47,22,45,30,27,58,31,5,37,53,10,32,26,33,39,38,48,18,27,23,8,27,9,21,20,11,28,63,9,8,38,9,a1i0p0s0t0,28273.535,16000,Yes,NA,NA
H,2022HU0007701,5,-9,10901,3,51,1000000,1042311,20,3,1,1,2,1,1,3,02,1,2,0,2,3,350,2,2,NA,4,400,2,1,9,500,2,NA,1,980,1,1,2,1,7,NA,NA,1,9,2,1,1,NA,1,1,1,1,NA,225000,5,3,40,1990,1,680,2,NA,NA,1,9500,47,01,1,1,01,680,0,2,2,2,1,1,1,5,1,3,0,0,1,101,0,1,9,0,1,0,0,3,1733,3,0,1,775,1,08,09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,27,28,19,22,19,7,7,27,7,29,8,32,16,22,25,14,21,22,21,28,28,25,5,29,29,13,16,7,22,28,19,23,7,14,22,29,30,9,5,19,35,18,8,36,30,31,18,5,21,12,27,16,5,19,14,28,34,8,6,6,23,57,18,18,24,4,4,26,4,34,8,28,21,31,31,20,26,24,16,6,a2i0p0s1t0,56217.130000000005,680,Yes,Yes,Yes
H,2022HU0008429,5,-9,10901,3,51,1000000,1042311,20,3,1,1,2,1,1,2,01,1,2,0,2,3,110,2,3,1200,4,490,2,1,9,0,1,50,NA,NA,NA,3,2,1,4,NA,NA,1,9,2,1,1,NA,1,2,1,2,NA,40000,1,3,240,2000,3,29000,2,NA,NA,2,1200,57,02,8,2,03,29000,0,2,2,2,1,1,1,3,1,2,0,1,1,34,2,1,9,0,1,0,0,3,812,NA,0,0,1050,1,10,10,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,29,22,28,19,14,31,21,10,27,33,7,18,17,6,23,7,14,21,14,26,8,29,7,17,23,5,20,34,5,12,23,29,18,37,22,28,18,17,16,20,8,28,6,20,15,4,17,25,4,11,26,16,14,34,29,34,34,24,21,6,34,26,37,19,17,30,18,7,24,34,5,11,17,6,23,6,19,32,23,7,a2i0p0s0t1,49006.325,29000,Yes,Yes,Yes
H,2022HU0009023,5,-9,10901,3,51,1000000,1042311,113,1,1,3,3,1,1,2,01,NA,2,NA,NA,3,220,2,3,120,4,4,3,NA,9,NA,2,NA,NA,NA,NA,NA,NA,1,3,2,300,1,9,NA,1,2,NA,1,2,1,3,NA,NA,1,2,NA,1990,NA,NA,NA,534,51,1,9500,65,01,2,4,09,12500,0,4,4,4,1,1,1,2,0,NA,0,0,0,NA,0,1,9,0,0,1,1,2,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,152,160,106,170,49,110,80,178,32,80,183,145,38,49,87,117,41,151,90,107,136,146,115,177,58,122,103,138,53,109,189,111,54,36,115,114,39,199,123,90,198,160,101,160,41,93,127,143,36,131,196,112,43,45,94,90,60,153,117,126,142,151,105,140,51,73,87,127,45,110,185,138,54,49,112,101,41,169,94,a1i0p0s0t0,28273.535,12500,Yes,NA,NA
