income_bins,count,percent
"$0 to $9,999",1467,10.724468162877402
"$10,000 to $19,999",1951,14.262738504276628
"$20,000 to $29,999",2708,19.796768769646906
"$30,000 to $39,999",3608,26.376197090430587
"$40,000 to $49,999",2183,15.958768915856423
"$50,000+",1762,12.881058556912055
