"GEOID","NAME","totalpopE","totalpopM","medianHHIE","medianHHIM","medianHHIWhiteE","medianHHIWhiteM","medianHHIBlackE","medianHHIBlackM","AllhseE","AllhseM","ownoccE","ownoccM","rentAllE","rentAllM","snapE","snapM","noHSE","noHSM","pop25olderE","pop25olderM","unempE","unempM","ownerCarAccessE","ownerCarAccessM","renterCarAccessE","renterCarAccessM","medianFamIncomeE","medianFamIncomeM","perc_noHSE","perc_noHSM","AllFamE","AllFamM","AllFamUnder10kE","AllFamUnder10kM","perc_AllFamUnder10kE","perc_AllFamUnder10kM","AllFamBtw10_14kE","AllFamBtw10_14kM","perc_AllFamBtw10_14kE","perc_AllFamBtw10_14kM","AllFamBtw15_24kE","AllFamBtw15_24kM","perc_AllFamBtw15_24kE","perc_AllFamBtw15_24kM","AllFamBtw25_34kE","AllFamBtw25_34kM","perc_AllFamBtw25_34kE","perc_AllFamBtw25_34kM","AllFamUnder35kE","AllFamUnder35kM","perc_AllFamUnder35kE","perc_AllFamUnder35kM","AllFamBtw35_59kE","AllFamBtw35_59kM","perc_AllFamBtw35_59kE","perc_AllFamBtw35_59kM","AllFamBtw60_100kE","AllFamBtw60_100kM","perc_AllFamBtw60_100kE","perc_AllFamBtw60_100kM","AllFamOver100kE","AllFamOver100kM","perc_AllFamOver100kE","perc_AllFamOver100kM","AllWhiteFamE","AllWhiteFamM","WhiteFamUnder10kE","WhiteFamUnder10kM","perc_WhiteFamUnder10kE","perc_WhiteFamUnder10kM","WhiteFamBtw10_14kE","WhiteFamBtw10_14kM","perc_WhiteFamBtw10_14kE","perc_WhiteFamBtw10_14kM","WhiteFamBtw15_24kE","WhiteFamBtw15_24kM","perc_WhiteFamBtw15_24kE","perc_WhiteFamBtw15_24kM","WhiteFamBtw25_34kE","WhiteFamBtw25_34kM","perc_WhiteFamBtw25_34kE","perc_WhiteFamBtw25_34kM","WhiteFamUnder35kE","WhiteFamUnder35kM","perc_WhiteFamUnder35kE","perc_WhiteFamUnder35kM","WhiteFamBtw35_59kE","WhiteFamBtw35_59kM","perc_WhiteFamBtw35_59kE","perc_WhiteFamBtw35_59kM","WhiteFamBtw60_100kE","WhiteFamBtw60_100kM","perc_WhiteFamBtw60_100kE","perc_WhiteFamBtw60_100kM","WhiteFamOver100kE","WhiteFamOver100kM","perc_WhiteFamOver100kE","perc_WhiteFamOver100kM","AllBlackFamE","AllBlackFamM","BlackFamUnder10kE","BlackFamUnder10kM","perc_BlackFamUnder10kE","perc_BlackFamUnder10kM","BlackFamBtw10_14kE","BlackFamBtw10_14kM","perc_BlackFamBtw10_14kE","perc_BlackFamBtw10_14kM","BlackFamBtw15_24kE","BlackFamBtw15_24kM","perc_BlackFamBtw15_24kE","perc_BlackFamBtw15_24kM","BlackFamBtw25_34kE","BlackFamBtw25_34kM","perc_BlackFamBtw25_34kE","perc_BlackFamBtw25_34kM","BlackFamUnder35kE","BlackFamUnder35kM","perc_BlackFamUnder35kE","perc_BlackFamUnder35kM","BlackFamBtw35_59kE","BlackFamBtw35_59kM","perc_BlackFamBtw35_59kE","perc_BlackFamBtw35_59kM","BlackFamBtw60_100kE","BlackFamBtw60_100kM","perc_BlackFamBtw60_100kE","perc_BlackFamBtw60_100kM","BlackFamOver100kE","BlackFamOver100kM","perc_BlackFamOver100kE","perc_BlackFamOver100kM","year","state","locality","countyName"
"51029","Buckingham County, Virginia",17087,NA,48603,4866,54671,7032,42643,10228,7456,83,4391,268,1557,230,854,198,2257,279,12934,194,322,120,4391,268,1557,230,61702,5935,17.5,2.1,4037,281,149,72,3.69,0.02,119,57,2.95,0.01,427,144.2,10.58,0.03,441,150.9,10.92,0.04,1136,228.03,28.14,0.05,811,175.47,20.09,0.04,1182,238.01,29.28,0.06,908,225.85,22.49,0.05,2694,221,41,35,1.52,0.01,25,30,0.93,0.01,209,100.6,7.76,0.04,324,129,12.03,0.05,599,169.96,22.23,0.06,558,138.25,20.71,0.05,724,163.03,26.87,0.06,813,211.59,30.18,0.07,1220,184,68,48,5.57,0.04,90,47,7.38,0.04,198,101.79,16.23,0.08,117,81.84,9.59,0.07,473,146.87,38.77,0.11,226,87.24,18.52,0.07,448,162.43,36.72,0.12,73,61.12,5.98,0.05,"2020","51","029","Buckingham"
"51065","Fluvanna County, Virginia",26873,NA,78885,4581,80354,4929,67798,25092,11048,68,8215,355,1752,310,283,148,1487,313,19770,168,280,167,8215,355,1752,310,89487,5015,7.5,1.6,7131,339,105,66,1.47,0.01,12,19,0.17,0,215,110.68,3.02,0.02,227,95.41,3.18,0.01,559,161.47,7.84,0.02,1213,292.7,17.01,0.04,2396,370.75,33.6,0.05,2963,398.03,41.55,0.05,6164,273,68,56,1.1,0.01,12,19,0.19,0,172,97.06,2.79,0.02,184,77.16,2.99,0.01,436,137.37,7.07,0.02,1012,276.32,16.42,0.04,2093,309.66,33.96,0.05,2623,378.77,42.55,0.06,790,169,23,41,2.91,0.05,0,24,0,0.03,43,53.45,5.44,0.07,22,39.2,2.78,0.05,88,77.94,11.14,0.1,184,102.75,23.29,0.12,240,142,30.38,0.17,278,133.32,35.19,0.15,"2020","51","065","Fluvanna"
"51109","Louisa County, Virginia",36654,NA,67027,6008,72120,4700,46695,11012,17626,53,11407,522,2976,428,1515,327,3093,400,26631,156,834,307,11407,522,2976,428,79821,5993,11.6,1.5,10249,450,199,89,1.94,0.01,216,127,2.11,0.01,632,226.24,6.17,0.02,744,209.72,7.26,0.02,1791,345.28,17.47,0.03,1998,350.67,19.49,0.03,2869,396.53,27.99,0.04,3591,442.08,35.04,0.04,8439,368,134,75,1.59,0.01,83,61,0.98,0.01,457,217.95,5.42,0.03,590,188.31,6.99,0.02,1264,303.82,14.98,0.04,1614,324.06,19.13,0.04,2408,343.11,28.53,0.04,3153,412.64,37.36,0.05,1482,226,60,52,4.05,0.03,71,62,4.79,0.04,138,73.43,9.31,0.05,111,82.73,7.49,0.05,380,137.06,25.64,0.08,348,138.31,23.48,0.09,413,171.96,27.87,0.11,341,128.54,23.01,0.08,"2020","51","109","Louisa"
"51125","Nelson County, Virginia",14812,NA,62203,10320,67407,6802,50048,5829,10219,31,4805,350,1593,361,797,249,1634,380,11109,183,197,119,4805,350,1593,361,78953,10365,14.7,3.4,4372,316,175,110,4,0.02,49,43,1.12,0.01,186,146.11,4.25,0.03,402,189.68,9.19,0.04,812,266.98,18.57,0.06,751,221.2,17.18,0.05,1242,254.62,28.41,0.05,1567,269.95,35.84,0.06,3709,283,164,103,4.42,0.03,30,29,0.81,0.01,70,65.52,1.89,0.02,369,183.81,9.95,0.05,633,222.55,17.07,0.06,628,201.72,16.93,0.05,1027,234.39,27.69,0.06,1421,248.83,38.31,0.06,614,136,11,22,1.79,0.04,19,29,3.09,0.05,116,137.46,18.89,0.22,33,47.51,5.37,0.08,179,149.93,29.15,0.24,115,74.47,18.73,0.11,188,114.21,30.62,0.17,132,101.71,21.5,0.16,"2020","51","125","Nelson"
"51540","Charlottesville city, Virginia",47217,NA,59598,4877,72591,6906,35927,7135,20736,92,7550,472,11264,449,1826,315,2749,456,30341,64,979,295,7550,472,11264,449,90051,6377,9.1,1.5,8950,545,480,200,5.36,0.02,238,135,2.66,0.01,417,153,4.66,0.02,575,228.59,6.42,0.03,1710,365.91,19.11,0.04,1341,261.65,14.98,0.03,1999,330.05,22.34,0.03,3900,426.59,43.58,0.04,6616,409,213,128,3.22,0.02,103,72,1.56,0.01,186,104.65,2.81,0.02,280,125.1,4.23,0.02,782,219.47,11.82,0.03,851,209.65,12.86,0.03,1555,250.19,23.5,0.03,3428,377.31,51.81,0.05,1745,259,253,144,14.5,0.08,103,100,5.9,0.06,216,112.7,12.38,0.06,259,172.19,14.84,0.1,831,270.35,47.62,0.14,382,124.56,21.89,0.06,257,110.31,14.73,0.06,275,132.2,15.76,0.07,"2020","51","540","Charlottesville"
"51003","Albemarle County, Virginia",108819,NA,84643,3217,88100,3705,49184,12357,46235,575,27625,707,14756,756,1530,274,5412,614,73818,187,1578,406,27625,707,14756,756,106967,2545,7.3,0.8,26522,888,402,117,1.52,0,178,102,0.67,0,641,192.46,2.42,0.01,1393,324.45,5.25,0.01,2614,407.93,9.86,0.02,3595,474.35,13.55,0.02,5978,538.45,22.54,0.02,14335,838.44,54.05,0.03,22484,814,233,77,1.04,0,129,95,0.57,0,543,167.36,2.42,0.01,888,259.4,3.95,0.01,1793,332.04,7.97,0.01,2979,425.31,13.25,0.02,5101,477.06,22.69,0.02,12611,794.59,56.09,0.03,2183,271,140,70,6.41,0.03,34,35,1.56,0.02,96,85.07,4.4,0.04,361,216.75,16.54,0.1,631,245.65,28.91,0.11,315,142.76,14.43,0.06,476,187.02,21.8,0.08,761,223.66,34.86,0.09,"2020","51","003","Albemarle"
"51079","Greene County, Virginia",19734,NA,67266,4701,71279,6548,65930,1026,8384,49,6061,324,1430,276,625,181,1652,292,13699,140,436,168,6061,324,1430,276,79066,7745,12.1,2.1,5372,351,58,51,1.08,0.01,119,76,2.22,0.01,291,128.14,5.42,0.02,323,128.95,6.01,0.02,791,203.53,14.72,0.04,986,226.63,18.35,0.04,1445,277.46,26.9,0.05,2150,362.94,40.02,0.06,4761,295,28,33,0.59,0.01,117,76,2.46,0.02,235,120.74,4.94,0.03,213,84.31,4.47,0.02,593,168.97,12.46,0.03,871,215.05,18.29,0.04,1343,271.31,28.21,0.05,1954,354.71,41.04,0.07,370,133,6,10,1.62,0.03,2,4,0.54,0.01,29,42.06,7.84,0.11,75,107.97,20.27,0.28,112,116.37,30.27,0.3,82,65.34,22.16,0.16,42,64.2,11.35,0.17,134,87.81,36.22,0.2,"2020","51","079","Greene"
NA,"Charlottesville Region",271196,NA,67027,NA,72120,NA,49184,NA,121704,NA,70054,NA,35328,NA,7430,NA,18284,NA,188302,NA,4626,NA,70054,NA,35328,NA,79821,NA,9.71,NA,66633,NA,1568,NA,2.35,NA,931,NA,1.4,NA,2809,NA,4.22,NA,4105,NA,6.16,NA,9413,NA,14.13,NA,10695,NA,16.05,NA,17111,NA,25.68,NA,29414,NA,44.14,NA,54867,NA,881,NA,1.61,NA,499,NA,0.91,NA,1872,NA,3.41,NA,2848,NA,5.19,NA,6100,NA,11.12,NA,8513,NA,15.52,NA,14251,NA,25.97,NA,26003,NA,47.39,NA,8404,NA,561,NA,6.68,NA,319,NA,3.8,NA,836,NA,9.95,NA,978,NA,11.64,NA,2694,NA,32.06,NA,1652,NA,19.66,NA,2064,NA,24.56,NA,1994,NA,23.73,NA,NA,NA,NA,"Whole Region"
